Dec 18 17:37:21 rabid-industry useradd[29756]: new user: name=charles, UID=1000, GID=10, home=/home/charles, shell=/bin/bash, from=/dev/pts/0
Dec 18 17:57:31 rabid-industry useradd[823]: new user: name=apache, UID=48, GID=48, home=/usr/share/httpd, shell=/sbin/nologin, from=none
Dec 19 12:37:42 rabid-industry useradd[6294]: new user: name=elasticsearch, UID=991, GID=991, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 12:56:54 rabid-industry useradd[7085]: new user: name=kibana, UID=990, GID=990, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 16:02:35 rabid-industry useradd[8785]: new user: name=logstash, UID=989, GID=989, home=/usr/share/logstash, shell=/sbin/nologin, from=none
Dec 19 17:25:24 rabid-industry useradd[12623]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:30:03 rabid-industry useradd[12964]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:33:01 rabid-industry useradd[13131]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:38:38 rabid-industry useradd[13329]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:41:30 rabid-industry useradd[13548]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:43:49 rabid-industry useradd[13767]: new user: name=elasticsearch, UID=988, GID=988, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 19 17:54:09 rabid-industry useradd[14584]: new user: name=kibana, UID=987, GID=987, home=/nonexistent, shell=/sbin/nologin, from=none
Dec 21 18:53:55 rabid-industry useradd[44933]: new user: name=polkitd, UID=986, GID=986, home=/, shell=/sbin/nologin, from=none
Dec 21 18:53:57 rabid-industry useradd[44966]: new user: name=rtkit, UID=172, GID=172, home=/, shell=/sbin/nologin, from=none
Dec 21 18:54:09 rabid-industry useradd[45004]: new user: name=pipewire, UID=985, GID=985, home=/run/pipewire, shell=/usr/sbin/nologin, from=none
Dec 21 18:54:10 rabid-industry useradd[45026]: new user: name=geoclue, UID=984, GID=984, home=/var/lib/geoclue, shell=/sbin/nologin, from=none
